txn_id,timestamp,sender_account,receiver_account,amount,channel
T00001,2025-09-01 09:15:00,AC0001,AC0002,45000,NEFT
T00002,2025-09-01 09:20:00,AC0002,AC0003,47000,IMPS
T00003,2025-09-01 09:25:00,AC0003,AC0001,49000,NEFT
T00004,2025-09-01 09:40:00,AC0010,AC0011,52000,IMPS
T00005,2025-09-01 09:45:00,AC0011,AC0012,54000,RTGS
T00006,2025-09-01 09:50:00,AC0012,AC0010,56000,NEFT
T00007,2025-09-01 10:00:00,AC0020,AC0021,60000,IMPS
T00008,2025-09-01 10:05:00,AC0021,AC0022,58000,RTGS
T00009,2025-09-01 10:10:00,AC0022,AC0020,57000,NEFT
T00010,2025-09-02 11:00:00,AC0030,AC0035,1200,UPI
T00011,2025-09-02 11:10:00,AC0035,AC0040,1500,UPI
T00012,2025-09-02 11:15:00,AC0040,AC0030,1300,UPI
T00013,2025-09-03 12:00:00,AC0050,AC0055,9000,NEFT
T00014,2025-09-03 12:10:00,AC0055,AC0060,10000,RTGS
T00015,2025-09-03 12:20:00,AC0060,AC0070,11000,IMPS
T00016,2025-09-03 12:30:00,AC0070,AC0080,12000,NEFT
T00017,2025-09-03 12:40:00,AC0080,AC0090,11500,IMPS
T00018,2025-09-03 12:50:00,AC0090,AC0100,11800,RTGS
T00019,2025-09-04 09:00:00,AC0025,AC0030,25000,NEFT
T00020,2025-09-04 09:10:00,AC0030,AC0025,24000,IMPS
